country,both,male,female,drinking age
Latvia,13.19,21.61,6.31,18
Moldova,12.85,20.61,5.89,18
Germany,12.79,19.71,6.15,16
Lithuania,12.78,20.6,6.3,18
Ireland,12.75,19.38,6.34,18
Spain,12.67,19.94,5.76,18
Uganda,12.48,20.61,4.94,18
Bulgaria,12.46,19.86,5.59,18
Luxembourg,12.45,18.74,6.08,16
Romania,12.34,19.5,5.68,18
Andorra,12.26,18.58,5.74,18
Montenegro,12.24,19.51,5.3,18
France,12.23,19.21,5.83,18
Slovenia,12.11,18.68,5.67,18
Portugal,12.09,19.51,5.59,18
Laos,12.08,19.11,5.09,18
Tanzania,12.04,19.89,4.36,18
Austria,11.93,18.42,5.76,16
Poland,11.89,18.65,5.65,18
United Kingdom,11.45,17.74,5.4,18
Switzerland,11.23,17.18,5.45,16
Hungary,11.07,17.66,5.24,18
Slovakia,11.06,17.26,5.3,18
Burkina Faso,11.05,18.5,3.85,0
Belarus,10.96,17.93,5.13,18
Cook Islands,10.94,17.95,4.36,18
Cyprus,10.8,16.92,4.76,18
Belgium,10.8,16.7,5.13,16
Estonia,10.75,17.35,5.06,18
New Zealand,10.69,16.46,5.23,18
Finland,10.65,16.56,4.99,18
Greece,10.5,16.72,4.6,18
Russia,10.5,17.99,4.31,18
Barbados,10.37,16.95,4.35,16
Australia,10.36,15.72,5.11,18
Denmark,10.13,15.58,4.8,16
Japan,10.09,15.58,4.93,20
United States,9.97,15.44,4.69,21
Niue,9.93,16.04,3.77,18
Netherlands,9.67,14.9,4.54,18
Saint Lucia,9.59,15.45,3.97,16
Georgia,9.47,15.61,4.11,16
Argentina,9.45,14.66,4.64,18
South Africa,9.45,15.74,3.46,18
Antigua and Barbuda,9.4,15.09,4.25,16
Iceland,9.21,14.03,4.39,20
Sweden,9.04,13.85,4.27,18
Grenada,8.96,14.25,3.64,18
Chile,8.95,13.74,4.36,18
Serbia,8.85,14.09,3.93,18
Seychelles,8.84,13.41,4.02,18
Canada,8.81,13.73,4.01,18
Eswatini,8.78,14.78,3.26,18
Croatia,8.73,13.96,3.99,18
Thailand,8.5,13.75,3.61,20
South Korea,8.45,12.76,4.17,19
Ukraine,8.34,14,3.65,18
Malta,8.27,12.88,3.69,17
Gabon,8.08,12.24,3.7,18
Italy,8.01,12.74,3.61,18
Rwanda,7.96,13.11,3.11,18
Vietnam,7.93,12.84,3.19,18
Cambodia,7.84,12.9,3.21,21
Angola,7.83,12.39,3.48,18
Bosnia and Herzegovina,7.81,12.95,2.96,18
Panama,7.77,12.23,3.36,18
Burundi,7.45,12.22,2.89,16
Suriname,7.4,11.74,3.1,16
Brazil,7.32,11.65,3.22,18
Dominica,7.23,11.53,2.9,16
Saint Vincent and the Grenadines,7.15,11.29,2.87,18
Norway,7.14,10.8,3.45,18
Philippines,7.02,11.22,2.87,18
Paraguay,7.01,10.96,2.94,20
Equatorial Guinea,6.92,9.63,3.12,18
Uruguay,6.92,10.82,3.38,18
Albania,6.82,11.02,2.53,18
Peru,6.78,10.41,3.24,18
Dominican Republic,6.68,10.62,2.8,18
Botswana,6.61,11.1,2.61,18
Trinidad and Tobago,6.52,10.24,2.94,18
North Macedonia,6.43,10.36,2.54,18
Belize,6.37,10.18,2.65,18
Saint Kitts and Nevis,6.34,10.01,2.78,18
Cuba,6.26,9.97,2.64,16
Nigeria,6.19,9.84,2.49,18
China,6.04,9.37,2.6,18
Mongolia,5.9,9.23,2.72,18
Sao Tome and Principe,5.8,9.15,2.49,18
India,5.61,9.06,1.89,18
